发生时间,开关机状态,加热中,保温中,实际温度,热水量,水流量,加热剩余时间,当前设置温度
20141019153700,关,关,关,29°C,0%,21,0分钟,50°C
20141019153702,关,关,关,29°C,0%,20,0分钟,50°C
20141019153706,关,关,关,29°C,0%,18,0分钟,50°C
20141019153719,关,关,关,29°C,0%,17,0分钟,50°C
20141019153721,关,关,关,29°C,0%,18,0分钟,50°C
20141019153729,关,关,关,29°C,0%,17,0分钟,50°C
20141019153731,关,关,关,29°C,0%,18,0分钟,50°C
20141019153737,关,关,关,29°C,0%,17,0分钟,50°C
20141019153739,关,关,关,29°C,0%,18,0分钟,50°C
20141019153741,关,关,关,29°C,0%,11,0分钟,50°C
20141019153757,开,开,关,29°C,0%,0,25分钟,50°C
20141019153759,开,开,关,29°C,0%,43,25分钟,50°C
20141019153801,开,开,关,29°C,0%,48,25分钟,50°C
20141019153825,开,开,关,29°C,0%,50,25分钟,50°C
20141019153831,开,开,关,29°C,0%,48,25分钟,50°C
20141019153833,开,开,关,29°C,0%,51,25分钟,50°C
20141019153835,开,开,关,29°C,0%,50,25分钟,50°C
20141019153837,开,开,关,29°C,0%,48,25分钟,50°C
20141019153906,开,开,关,29°C,0%,50,25分钟,50°C
20141019153910,开,开,关,29°C,0%,51,25分钟,50°C
20141019153912,开,开,关,29°C,0%,50,25分钟,50°C
20141019153914,开,开,关,29°C,0%,51,25分钟,50°C
20141019153921,开,开,关,29°C,0%,51,25分钟,50°C
20141019153940,开,开,关,29°C,0%,50,25分钟,50°C
20141019153942,开,开,关,29°C,0%,48,25分钟,50°C
20141019153944,开,开,关,29°C,0%,51,25分钟,50°C
20141019153948,开,开,关,29°C,0%,50,25分钟,50°C
20141019153952,开,开,关,29°C,0%,51,25分钟,50°C
20141019154000,开,开,关,29°C,0%,50,25分钟,50°C
20141019154002,开,开,关,29°C,0%,51,25分钟,50°C
20141019154018,开,开,关,29°C,0%,50,25分钟,50°C
20141019154020,开,开,关,29°C,0%,51,25分钟,50°C
20141019154024,开,开,关,29°C,0%,50,25分钟,50°C
20141019154026,开,开,关,29°C,0%,42,25分钟,50°C
20141019154028,开,开,关,29°C,0%,43,25分钟,50°C
20141019154030,开,开,关,29°C,0%,42,25分钟,50°C
20141019154032,开,开,关,29°C,0%,43,25分钟,50°C
20141019154043,开,开,关,29°C,0%,42,25分钟,50°C
20141019154045,开,开,关,29°C,0%,43,25分钟,50°C
20141019154053,开,开,关,29°C,0%,42,25分钟,50°C
20141019154055,开,开,关,29°C,0%,43,25分钟,50°C
20141019154059,开,开,关,29°C,0%,42,25分钟,50°C
20141019154101,开,开,关,29°C,0%,41,25分钟,50°C
20141019154107,开,开,关,29°C,0%,42,25分钟,50°C
20141019154109,开,开,关,29°C,0%,43,25分钟,50°C
20141019154111,开,开,关,29°C,0%,41,25分钟,50°C
20141019154113,开,开,关,29°C,0%,43,25分钟,50°C
20141019154125,开,开,关,29°C,0%,42,25分钟,50°C
20141019154127,开,开,关,29°C,0%,41,25分钟,50°C
20141019154129,开,开,关,29°C,0%,42,25分钟,50°C
20141019154135,开,开,关,29°C,0%,41,25分钟,50°C
20141019154142,开,开,关,29°C,0%,42,25分钟,50°C
20141019154143,开,开,关,29°C,0%,41,25分钟,50°C
20141019154145,开,开,关,29°C,0%,43,25分钟,50°C
20141019154147,开,开,关,29°C,0%,42,25分钟,50°C
20141019154149,开,开,关,29°C,0%,43,25分钟,50°C
20141019154157,开,开,关,29°C,0%,42,25分钟,50°C
20141019154203,开,开,关,29°C,0%,43,25分钟,50°C
20141019154209,开,开,关,29°C,0%,42,25分钟,50°C
20141019154211,开,开,关,29°C,0%,43,25分钟,50°C
20141019154215,开,开,关,29°C,0%,42,25分钟,50°C
20141019154222,开,开,关,29°C,0%,43,25分钟,50°C
20141019154226,开,开,关,29°C,0%,42,25分钟,50°C
20141019154230,开,开,关,29°C,0%,43,25分钟,50°C
20141019154242,开,开,关,29°C,0%,42,25分钟,50°C
20141019154250,开,开,关,29°C,0%,43,25分钟,50°C
20141019154254,开,开,关,29°C,0%,42,25分钟,50°C
20141019154256,开,开,关,29°C,0%,42,31分钟,50°C
20141019154300,开,开,关,28°C,0%,42,31分钟,50°C
20141019154302,开,开,关,28°C,0%,42,29分钟,50°C
20141019154304,开,开,关,29°C,0%,43,29分钟,50°C
20141019154308,开,开,关,29°C,0%,42,29分钟,50°C
20141019154312,开,开,关,29°C,0%,43,29分钟,50°C
20141019154314,开,开,关,29°C,0%,42,29分钟,50°C
20141019154316,开,开,关,29°C,0%,43,29分钟,50°C
20141019154318,开,开,关,29°C,0%,42,29分钟,50°C
20141019154320,开,开,关,29°C,0%,43,29分钟,50°C
20141019154322,开,开,关,29°C,0%,42,29分钟,50°C
20141019154324,开,开,关,29°C,0%,43,29分钟,50°C
20141019154326,开,开,关,29°C,0%,42,29分钟,50°C
20141019154328,开,开,关,29°C,0%,43,29分钟,50°C
20141019154334,开,开,关,29°C,0%,42,29分钟,50°C
20141019154336,开,开,关,29°C,0%,43,29分钟,50°C
20141019154346,开,开,关,29°C,0%,42,29分钟,50°C
20141019154352,开,开,关,29°C,0%,42,28分钟,50°C
20141019154354,开,开,关,29°C,0%,43,28分钟,50°C
20141019154403,开,开,关,29°C,0%,42,28分钟,50°C
20141019154405,开,开,关,29°C,0%,43,28分钟,50°C
20141019154419,开,开,关,29°C,0%,42,28分钟,50°C
20141019154421,开,开,关,29°C,0%,43,28分钟,50°C
20141019154435,开,开,关,29°C,0%,42,28分钟,50°C
20141019154439,开,开,关,29°C,0%,43,28分钟,50°C
20141019154445,开,开,关,29°C,0%,42,28分钟,50°C
20141019154447,开,开,关,29°C,0%,43,28分钟,50°C
20141019154451,开,开,关,29°C,0%,43,27分钟,50°C
20141019154459,开,开,关,29°C,0%,42,27分钟,50°C
20141019154501,开,开,关,29°C,0%,43,27分钟,50°C
20141019154505,开,开,关,29°C,0%,42,27分钟,50°C
20141019154507,开,开,关,29°C,0%,43,27分钟,50°C
20141019154541,开,开,关,29°C,0%,42,27分钟,50°C
20141019154545,开,开,关,29°C,0%,43,27分钟,50°C
20141019154547,开,开,关,29°C,0%,42,27分钟,50°C
20141019154550,开,开,关,29°C,0%,43,26分钟,50°C
20141019154556,开,开,关,29°C,0%,42,26分钟,50°C
20141019154600,开,开,关,29°C,0%,43,26分钟,50°C
20141019154610,开,开,关,29°C,0%,42,26分钟,50°C
20141019154614,开,开,关,29°C,0%,43,26分钟,50°C
20141019154616,开,开,关,29°C,0%,42,26分钟,50°C
20141019154618,开,开,关,29°C,0%,43,26分钟,50°C
20141019154626,开,开,关,29°C,0%,42,26分钟,50°C
20141019154628,开,开,关,29°C,0%,43,26分钟,50°C
20141019154632,开,开,关,29°C,0%,42,26分钟,50°C
20141019154638,开,开,关,29°C,0%,43,26分钟,50°C
20141019154640,开,开,关,29°C,0%,42,26分钟,50°C
20141019154642,开,开,关,29°C,0%,43,26分钟,50°C
20141019154646,开,开,关,29°C,0%,42,26分钟,50°C
20141019154648,开,开,关,29°C,0%,43,26分钟,50°C
20141019154654,开,开,关,29°C,0%,42,25分钟,50°C
20141019154656,开,开,关,29°C,0%,43,25分钟,50°C
20141019154700,开,开,关,29°C,0%,42,25分钟,50°C
20141019154702,开,开,关,29°C,0%,43,25分钟,50°C
20141019154706,开,开,关,29°C,0%,42,25分钟,50°C
20141019154708,开,开,关,29°C,0%,43,25分钟,50°C
20141019154710,开,开,关,29°C,0%,42,25分钟,50°C
20141019154714,开,开,关,29°C,0%,43,25分钟,50°C
20141019154718,开,开,关,29°C,0%,42,25分钟,50°C
20141019154720,开,开,关,29°C,0%,43,25分钟,50°C
20141019154724,开,开,关,29°C,0%,42,25分钟,50°C
20141019154726,开,开,关,29°C,0%,43,25分钟,50°C
20141019154734,开,开,关,29°C,0%,42,25分钟,50°C
20141019154737,开,开,关,29°C,0%,43,25分钟,50°C
20141019154741,开,开,关,29°C,0%,42,25分钟,50°C
20141019154743,开,开,关,29°C,0%,43,25分钟,50°C
20141019154745,开,开,关,29°C,0%,42,25分钟,50°C
20141019154747,开,开,关,29°C,0%,43,25分钟,50°C
20141019154755,开,开,关,29°C,0%,42,25分钟,50°C
20141019154757,开,开,关,29°C,0%,43,25分钟,50°C
20141019154759,开,开,关,29°C,0%,42,25分钟,50°C
20141019154801,开,开,关,29°C,0%,43,25分钟,50°C
20141019154803,开,开,关,29°C,0%,42,25分钟,50°C
20141019154805,开,开,关,29°C,0%,43,25分钟,50°C
20141019154815,开,开,关,29°C,0%,42,25分钟,50°C
20141019154817,开,开,关,29°C,0%,43,25分钟,50°C
20141019154825,开,开,关,29°C,0%,42,25分钟,50°C
20141019154827,开,开,关,29°C,0%,43,25分钟,50°C
20141019154829,开,开,关,29°C,0%,42,25分钟,50°C
20141019154831,开,开,关,29°C,0%,43,25分钟,50°C
20141019154833,开,开,关,29°C,0%,42,25分钟,50°C
20141019154835,开,开,关,29°C,0%,41,25分钟,50°C
20141019154839,开,开,关,29°C,0%,42,25分钟,50°C
20141019154846,开,开,关,29°C,0%,41,25分钟,50°C
20141019155028,开,开,关,29°C,0%,0,25分钟,50°C
20141019155030,开,开,关,29°C,0%,0,28分钟,50°C
20141019155050,开,开,关,30°C,0%,0,28分钟,50°C
20141019155117,开,开,关,30°C,0%,0,27分钟,50°C
20141019155119,开,开,关,30°C,0%,0,26分钟,50°C
20141019155213,开,开,关,31°C,0%,0,26分钟,50°C
20141019155219,开,开,关,31°C,0%,0,25分钟,50°C
20141019155250,开,开,关,32°C,0%,0,25分钟,50°C
20141019155314,开,开,关,32°C,0%,0,24分钟,50°C
20141019155318,开,开,关,33°C,0%,0,24分钟,50°C
20141019155354,开,开,关,33°C,0%,0,23分钟,50°C
20141019155356,开,开,关,33°C,0%,0,22分钟,50°C
20141019155400,开,开,关,34°C,0%,0,22分钟,50°C
20141019155402,开,开,关,34°C,0%,0,24分钟,50°C
20141019155406,开,开,关,33°C,0%,0,24分钟,50°C
20141019155408,开,开,关,33°C,0%,0,22分钟,50°C
20141019155449,开,开,关,34°C,0%,0,22分钟,50°C
20141019155513,开,开,关,34°C,0%,0,21分钟,50°C
20141019155515,开,开,关,34°C,0%,52,21分钟,50°C
20141019155519,开,开,关,35°C,0%,58,21分钟,50°C
20141019155521,开,开,关,35°C,0%,58,22分钟,50°C
20141019155523,开,开,关,34°C,0%,60,22分钟,50°C
20141019155525,开,开,关,34°C,0%,58,22分钟,50°C
20141019155527,开,开,关,34°C,0%,60,21分钟,50°C
20141019155529,开,开,关,35°C,0%,38,21分钟,50°C
20141019155541,开,开,关,35°C,0%,0,21分钟,50°C
20141019155642,开,开,关,35°C,0%,0,20分钟,50°C
20141019155658,开,开,关,35°C,0%,0,19分钟,50°C
20141019155749,开,开,关,36°C,0%,0,19分钟,50°C
20141019155753,开,开,关,36°C,0%,0,18分钟,50°C
20141019155817,开,开,关,37°C,0%,0,18分钟,50°C
20141019155905,开,开,关,37°C,0%,0,17分钟,50°C
20141019155934,开,开,关,38°C,0%,0,16分钟,50°C
20141019155936,开,开,关,38°C,0%,0,15分钟,50°C
20141019155940,开,开,关,39°C,0%,0,15分钟,50°C
20141019155942,开,开,关,39°C,0%,0,17分钟,50°C
20141019155946,开,开,关,38°C,0%,0,16分钟,50°C
20141019155948,开,开,关,38°C,0%,0,15分钟,50°C
20141019160022,开,开,关,39°C,0%,0,15分钟,50°C
20141019160100,开,开,关,39°C,0%,0,14分钟,50°C
20141019160111,开,开,关,40°C,0%,0,14分钟,50°C
20141019160153,开,开,关,40°C,0%,0,13分钟,50°C
20141019160155,开,开,关,40°C,0%,0,12分钟,50°C
20141019160239,开,开,关,41°C,0%,0,12分钟,50°C
20141019160302,开,开,关,41°C,0%,0,11分钟,50°C
20141019160322,开,开,关,42°C,0%,0,11分钟,50°C
20141019160422,开,开,关,42°C,0%,0,10分钟,50°C
20141019160433,开,开,关,42°C,0%,0,9分钟,50°C
20141019160525,开,开,关,43°C,0%,0,9分钟,50°C
20141019160527,开,开,关,43°C,25%,0,8分钟,50°C
20141019160557,开,开,关,44°C,25%,0,8分钟,50°C
20141019160634,开,开,关,44°C,25%,0,7分钟,50°C
20141019160638,开,开,关,45°C,25%,0,7分钟,50°C
20141019160720,开,开,关,45°C,25%,0,6分钟,50°C
20141019160722,开,开,关,45°C,25%,0,5分钟,50°C
20141019160803,开,开,关,46°C,25%,0,5分钟,50°C
20141019160841,开,开,关,46°C,25%,0,4分钟,50°C
20141019160855,开,开,关,47°C,25%,0,4分钟,50°C
20141019160954,开,开,关,47°C,25%,0,2分钟,50°C
20141019161040,开,开,关,48°C,25%,0,2分钟,50°C
20141019161042,开,开,关,48°C,25%,0,1分钟,50°C
20141019161106,开,开,关,49°C,25%,0,1分钟,50°C
20141019161147,开,开,关,49°C,25%,0,0分钟,50°C
20141019161149,开,关,开,50°C,100%,0,0分钟,50°C
20141019172319,开,关,开,50°C,50%,0,0分钟,50°C
20141019172321,关,关,关,50°C,50%,62,0分钟,50°C
20141019172323,关,关,关,50°C,50%,63,0分钟,50°C
20141019172325,关,关,关,50°C,50%,61,0分钟,50°C
20141019172331,关,关,关,50°C,50%,62,0分钟,50°C
20141019172333,关,关,关,50°C,50%,63,0分钟,50°C
20141019172337,关,关,关,50°C,50%,62,0分钟,50°C
20141019172341,关,关,关,50°C,50%,63,0分钟,50°C
20141019172458,关,关,关,50°C,50%,46,0分钟,50°C
20141019172500,关,关,关,50°C,50%,50,0分钟,50°C
20141019172505,关,关,关,50°C,50%,51,0分钟,50°C
20141019172506,关,关,关,50°C,50%,50,0分钟,50°C
20141019172512,关,关,关,50°C,50%,51,0分钟,50°C
20141019172514,关,关,关,50°C,50%,40,0分钟,50°C
20141019172516,关,关,关,50°C,50%,37,0分钟,50°C
20141019172520,关,关,关,50°C,50%,36,0分钟,50°C
20141019172522,关,关,关,50°C,50%,35,0分钟,50°C
20141019172526,关,关,关,50°C,50%,36,0分钟,50°C
20141019172532,关,关,关,50°C,50%,33,0分钟,50°C
20141019172535,关,关,关,50°C,50%,35,0分钟,50°C
20141019172537,关,关,关,50°C,50%,36,0分钟,50°C
20141019172539,关,关,关,50°C,50%,33,0分钟,50°C
20141019172543,关,关,关,50°C,50%,36,0分钟,50°C
20141019172547,关,关,关,49°C,50%,35,0分钟,50°C
20141019172549,关,关,关,49°C,50%,32,0分钟,50°C
20141019172551,关,关,关,49°C,50%,31,0分钟,50°C
20141019172553,关,关,关,49°C,50%,33,0分钟,50°C
20141019172557,关,关,关,49°C,50%,32,0分钟,50°C
20141019172601,关,关,关,49°C,50%,30,0分钟,50°C
20141019172605,关,关,关,49°C,50%,28,0分钟,50°C
20141019172607,关,关,关,49°C,50%,26,0分钟,50°C
20141019172609,关,关,关,49°C,50%,27,0分钟,50°C
20141019172613,关,关,关,49°C,50%,26,0分钟,50°C
20141019172617,关,关,关,49°C,50%,27,0分钟,50°C
20141019172619,关,关,关,49°C,50%,26,0分钟,50°C
20141019172623,关,关,关,49°C,50%,27,0分钟,50°C
20141019172625,关,关,关,49°C,50%,26,0分钟,50°C
20141019172627,关,关,关,49°C,50%,27,0分钟,50°C
20141019172631,关,关,关,49°C,50%,26,0分钟,50°C
20141019172635,关,关,关,49°C,50%,27,0分钟,50°C
20141019172639,关,关,关,49°C,50%,25,0分钟,50°C
20141019172641,关,关,关,49°C,50%,23,0分钟,50°C
20141019172644,关,关,关,49°C,50%,26,0分钟,50°C
20141019172645,关,关,关,49°C,50%,27,0分钟,50°C
20141019172647,关,关,关,49°C,50%,26,0分钟,50°C
20141019172655,关,关,关,49°C,50%,27,0分钟,50°C
20141019172657,关,关,关,49°C,50%,23,0分钟,50°C
20141019172720,关,关,关,49°C,50%,27,0分钟,50°C
20141019172726,关,关,关,49°C,50%,23,0分钟,50°C
20141019172727,关,关,关,49°C,50%,22,0分钟,50°C
20141019172728,关,关,关,49°C,50%,23,0分钟,50°C
20141019172732,关,关,关,49°C,50%,25,0分钟,50°C
20141019172734,关,关,关,49°C,50%,18,0分钟,50°C
20141019172738,关,关,关,49°C,50%,22,0分钟,50°C
20141019172740,关,关,关,49°C,50%,21,0分钟,50°C
20141019172744,关,关,关,49°C,50%,23,0分钟,50°C
20141019172754,关,关,关,49°C,50%,25,0分钟,50°C
20141019172758,关,关,关,49°C,50%,23,0分钟,50°C
20141019172800,关,关,关,49°C,50%,25,0分钟,50°C
20141019172802,关,关,关,49°C,50%,23,0分钟,50°C
20141019172804,关,关,关,49°C,50%,25,0分钟,50°C
20141019172808,关,关,关,49°C,50%,23,0分钟,50°C
20141019172814,关,关,关,49°C,50%,25,0分钟,50°C
20141019172816,关,关,关,49°C,50%,23,0分钟,50°C
20141019172820,关,关,关,49°C,50%,25,0分钟,50°C
20141019172822,关,关,关,48°C,50%,25,0分钟,50°C
20141019172824,关,关,关,48°C,50%,23,0分钟,50°C
20141019172832,关,关,关,48°C,50%,22,0分钟,50°C
20141019172834,关,关,关,48°C,50%,25,0分钟,50°C
20141019172840,关,关,关,48°C,50%,23,0分钟,50°C
20141019172852,关,关,关,48°C,50%,25,0分钟,50°C
20141019172854,关,关,关,48°C,50%,23,0分钟,50°C
20141019172857,关,关,关,48°C,50%,20,0分钟,50°C
20141019172859,关,关,关,48°C,50%,25,0分钟,50°C
20141019172905,关,关,关,48°C,50%,23,0分钟,50°C
20141019172911,关,关,关,48°C,50%,25,0分钟,50°C
20141019172915,关,关,关,48°C,50%,23,0分钟,50°C
20141019172919,关,关,关,48°C,50%,25,0分钟,50°C
20141019172923,关,关,关,48°C,50%,23,0分钟,50°C
20141019172929,关,关,关,48°C,50%,25,0分钟,50°C
20141019172937,关,关,关,48°C,50%,23,0分钟,50°C
20141019172941,关,关,关,48°C,50%,25,0分钟,50°C
20141019172951,关,关,关,48°C,50%,23,0分钟,50°C
20141019172953,关,关,关,48°C,50%,23,0分钟,50°C
20141019172955,关,关,关,47°C,50%,23,0分钟,50°C
20141019173001,关,关,关,47°C,50%,25,0分钟,50°C
20141019173007,关,关,关,47°C,50%,23,0分钟,50°C
20141019173009,关,关,关,47°C,50%,25,0分钟,50°C
20141019173011,关,关,关,47°C,50%,23,0分钟,50°C
20141019173013,关,关,关,47°C,50%,25,0分钟,50°C
20141019173025,关,关,关,47°C,50%,23,0分钟,50°C
20141019173029,关,关,关,47°C,50%,21,0分钟,50°C
20141019173035,关,关,关,47°C,50%,23,0分钟,50°C
20141019173048,关,关,关,47°C,50%,25,0分钟,50°C
20141019173054,关,关,关,47°C,50%,25,0分钟,50°C
20141019173058,关,关,关,47°C,50%,23,0分钟,50°C
20141019173106,关,关,关,47°C,50%,25,0分钟,50°C
20141019173108,关,关,关,47°C,50%,23,0分钟,50°C
20141019173116,关,关,关,47°C,50%,25,0分钟,50°C
20141019173120,关,关,关,47°C,50%,23,0分钟,50°C
20141019173124,关,关,关,47°C,50%,25,0分钟,50°C
20141019173128,关,关,关,46°C,50%,20,0分钟,50°C
20141019173130,关,关,关,46°C,50%,25,0分钟,50°C
20141019173132,关,关,关,46°C,50%,18,0分钟,50°C
20141019173436,关,关,关,45°C,50%,8,0分钟,50°C
20141019174458,开,开,关,44°C,25%,0,8分钟,50°C
20141019174559,开,开,关,44°C,25%,0,7分钟,50°C
20141019174619,开,开,关,44°C,25%,0,6分钟,50°C
20141019174621,开,开,关,44°C,25%,48,6分钟,50°C
20141019174627,开,开,关,44°C,25%,50,6分钟,50°C
20141019174629,开,开,关,44°C,25%,51,6分钟,50°C
20141019174631,开,开,关,44°C,25%,50,6分钟,50°C
20141019174633,开,开,关,44°C,25%,51,6分钟,50°C
20141019174637,开,开,关,44°C,25%,50,6分钟,50°C
20141019174641,开,开,关,44°C,25%,51,6分钟,50°C
20141019174643,开,开,关,44°C,25%,46,6分钟,50°C
20141019174645,开,开,关,44°C,25%,50,9分钟,50°C
20141019174647,开,开,关,44°C,25%,52,9分钟,50°C
20141019174651,开,开,关,43°C,25%,51,9分钟,50°C
20141019174659,开,开,关,43°C,25%,52,9分钟,50°C
20141019174701,开,开,关,43°C,25%,51,9分钟,50°C
20141019174711,开,开,关,43°C,25%,52,9分钟,50°C
20141019174713,开,开,关,43°C,25%,51,9分钟,50°C
20141019174715,开,开,关,43°C,25%,51,11分钟,50°C
20141019174717,开,开,关,43°C,25%,52,11分钟,50°C
20141019174719,开,开,关,42°C,25%,50,11分钟,50°C
20141019174721,开,开,关,42°C,25%,42,11分钟,50°C
20141019174723,开,开,关,42°C,25%,23,11分钟,50°C
20141019174726,开,开,关,42°C,25%,17,11分钟,50°C
20141019174727,开,开,关,42°C,25%,18,11分钟,50°C
20141019174731,开,开,关,42°C,25%,22,11分钟,50°C
20141019174733,开,开,关,42°C,25%,21,11分钟,50°C
20141019174735,开,开,关,42°C,25%,22,11分钟,50°C
20141019174750,开,开,关,42°C,25%,22,10分钟,50°C
20141019174752,开,开,关,42°C,25%,23,10分钟,50°C
20141019174756,开,开,关,42°C,25%,22,10分钟,50°C
20141019174800,开,开,关,42°C,25%,22,12分钟,50°C
20141019174802,开,开,关,41°C,25%,22,12分钟,50°C
20141019174804,开,开,关,41°C,25%,21,12分钟,50°C
20141019174814,开,开,关,41°C,25%,22,12分钟,50°C
20141019174818,开,开,关,41°C,25%,23,12分钟,50°C
20141019174824,开,开,关,41°C,25%,22,12分钟,50°C
20141019174826,开,开,关,41°C,25%,23,12分钟,50°C
20141019174835,开,开,关,41°C,25%,22,12分钟,50°C
20141019174836,开,开,关,41°C,25%,23,12分钟,50°C
20141019174840,开,开,关,41°C,25%,22,12分钟,50°C
20141019174842,开,开,关,41°C,25%,23,12分钟,50°C
20141019174844,开,开,关,41°C,25%,21,11分钟,50°C
20141019174856,开,开,关,41°C,25%,22,11分钟,50°C
20141019174900,开,开,关,41°C,25%,21,11分钟,50°C
20141019174902,开,开,关,41°C,25%,23,11分钟,50°C
20141019174906,开,开,关,41°C,25%,22,11分钟,50°C
20141019174908,开,开,关,41°C,25%,23,11分钟,50°C
20141019174915,开,开,关,41°C,25%,22,11分钟,50°C
20141019174916,开,开,关,41°C,25%,21,11分钟,50°C
20141019174921,开,开,关,41°C,25%,22,11分钟,50°C
20141019174922,开,开,关,41°C,25%,21,11分钟,50°C
20141019174924,开,开,关,41°C,25%,22,11分钟,50°C
20141019174927,开,开,关,41°C,25%,21,11分钟,50°C
20141019174935,开,开,关,41°C,25%,22,11分钟,50°C
20141019174937,开,开,关,41°C,25%,17,11分钟,50°C
20141019174939,开,开,关,41°C,25%,23,11分钟,50°C
20141019174943,开,开,关,41°C,25%,22,14分钟,50°C
20141019174945,开,开,关,40°C,25%,22,14分钟,50°C
20141019174947,开,开,关,40°C,25%,22,12分钟,50°C
20141019174949,开,开,关,40°C,25%,23,12分钟,50°C
20141019174951,开,开,关,41°C,25%,23,12分钟,50°C
20141019174953,开,开,关,41°C,25%,22,14分钟,50°C
20141019174955,开,开,关,41°C,25%,23,14分钟,50°C
20141019174957,开,开,关,40°C,25%,22,14分钟,50°C
20141019174959,开,开,关,40°C,25%,23,14分钟,50°C
20141019175001,开,开,关,40°C,25%,22,14分钟,50°C
20141019175003,开,开,关,40°C,25%,17,14分钟,50°C
20141019175005,开,开,关,40°C,25%,18,13分钟,50°C
20141019175011,开,开,关,40°C,25%,23,13分钟,50°C
20141019175013,开,开,关,40°C,25%,18,13分钟,50°C
20141019175015,开,开,关,40°C,25%,25,13分钟,50°C
20141019175023,开,开,关,40°C,25%,23,13分钟,50°C
20141019175025,开,开,关,40°C,25%,22,13分钟,50°C
20141019175027,开,开,关,40°C,25%,23,13分钟,50°C
20141019175031,开,开,关,40°C,25%,22,13分钟,50°C
20141019175033,开,开,关,40°C,25%,23,13分钟,50°C
20141019175035,开,开,关,40°C,25%,22,13分钟,50°C
20141019175041,开,开,关,40°C,25%,23,13分钟,50°C
20141019175047,开,开,关,40°C,25%,22,13分钟,50°C
20141019175057,开,开,关,40°C,25%,23,13分钟,50°C
20141019175059,开,开,关,40°C,25%,22,13分钟,50°C
20141019175101,开,开,关,40°C,25%,23,13分钟,50°C
20141019175103,开,开,关,40°C,25%,22,13分钟,50°C
20141019175105,开,开,关,40°C,25%,22,15分钟,50°C
20141019175108,开,开,关,40°C,25%,23,15分钟,50°C
20141019175111,开,开,关,39°C,25%,23,15分钟,50°C
20141019175114,开,开,关,39°C,25%,22,15分钟,50°C
20141019175116,开,开,关,39°C,25%,23,15分钟,50°C
20141019175118,开,开,关,39°C,25%,22,15分钟,50°C
20141019175130,开,开,关,39°C,25%,23,15分钟,50°C
20141019175132,开,开,关,39°C,25%,22,15分钟,50°C
20141019175134,开,开,关,39°C,25%,23,15分钟,50°C
20141019175136,开,开,关,39°C,25%,22,15分钟,50°C
20141019175138,开,开,关,39°C,25%,23,15分钟,50°C
20141019175140,开,开,关,39°C,25%,21,15分钟,50°C
20141019175144,开,开,关,39°C,25%,23,14分钟,50°C
20141019175146,开,开,关,39°C,25%,22,14分钟,50°C
20141019175154,开,开,关,39°C,25%,23,14分钟,50°C
20141019175158,开,开,关,39°C,25%,22,14分钟,50°C
20141019175206,开,开,关,39°C,25%,23,14分钟,50°C
20141019175208,开,开,关,39°C,25%,22,14分钟,50°C
20141019175216,开,开,关,39°C,25%,23,14分钟,50°C
20141019175218,开,开,关,39°C,25%,22,14分钟,50°C
